hold time	mean	meanerror	RMS
0	268.507	0.0176136	3.93852
1	272.039	0.0178772	3.99747
2	276.146	0.0181087	4.04922
3	280.941	0.018051	4.03633
4	286.582	0.018412	4.11705
5	292.783	0.0182444	4.07957
6	299.452	0.0181317	4.05436
7	306.949	0.0178136	3.98324
8	315.021	0.0175921	3.93372
9	323.727	0.0173348	3.87618
10	332.593	0.0168312	3.76357
11	341.627	0.0158178	3.53697
12	350.398	0.0146612	3.27835
13	358.75	0.013724	3.06877
14	366.285	0.0131826	2.94773
15	372.904	0.0122422	2.73743
16	378.707	0.0174375	3.89915
17	384.019	0.0108026	2.41554
18	388.244	0.0106777	2.38761
19	391.638	0.011252	2.51603
20	392.719	0.0107753	2.40943
21	392.102	0.0105958	2.36929
22	390.456	0.0105536	2.35985
23	388.172	0.0105227	2.35294
24	385.127	0.0109289	2.44377
25	379.973	0.01141	2.55135
26	367.252	0.0126138	2.82053
27	337.254	0.0169073	3.78058
28	305.517	0.0171196	3.82807
29	300.08	0.0178245	3.98567
30	300.163	0.018036	4.03297
31	300.251	0.0181531	4.05915
32	300.261	0.0176425	3.94498
33	300.279	0.0177232	3.96302
34	300.174	0.0189407	4.23526
35	300.423	0.0177545	3.97002
36	300.298	0.0181022	4.04778
37	300.164	0.0179299	4.00924
38	300.207	0.0180568	4.03762
39	300.365	0.0182953	4.09096
40	300.367	0.0179738	4.01905
41	300.325	0.0181498	4.05842
42	300.3	0.0178533	3.99213
43	300.22	0.0176876	3.95506
44	300.302	0.0180923	4.04556
45	300.467	0.0182994	4.09187
46	300.423	0.0176775	3.95282
47	300.308	0.017722	3.96277
48	300.25	0.0179715	4.01856
49	300.129	0.017906	4.00391
50	300.243	0.0177427	3.96738
