hold time	mean	meanerror	RMS
0	377.61	0.0137927	3.08414
1	378.802	0.0134904	3.01656
2	379.833	0.0125234	2.80032
3	380.858	0.0122229	2.73313
4	381.896	0.0119322	2.66812
5	382.954	0.0119969	2.68259
6	384.055	0.0119287	2.66734
7	385.033	0.011544	2.58131
8	385.83	0.0121296	2.71225
9	386.781	0.0116995	2.6161
10	387.607	0.0114996	2.57138
11	388.349	0.0111047	2.4831
12	389.134	0.0112053	2.50559
13	389.755	0.0116354	2.60175
14	390.15	0.0117345	2.62391
15	390.717	0.0111952	2.50332
16	391.158	0.0111811	2.50016
17	391.429	0.0115176	2.57542
18	391.767	0.0114334	2.55658
19	391.979	0.0114294	2.55569
20	392.016	0.0113592	2.54
21	391.824	0.0110946	2.48083
22	391.682	0.0111879	2.50168
23	391.586	0.0110973	2.48143
24	391.483	0.0109074	2.43898
25	391.115	0.0118427	2.64811
26	391.026	0.0117158	2.61974
27	390.707	0.0118415	2.64784
28	390.242	0.011579	2.58914
29	390.063	0.0116886	2.61365
30	389.585	0.012107	2.7072
31	389.085	0.0116686	2.60917
32	388.609	0.0134394	3.00514
33	388.081	0.0122562	2.74057
34	387.49	0.0121772	2.72291
35	387.082	0.0123205	2.75495
36	386.488	0.0124718	2.78877
37	385.859	0.012014	2.68641
38	385.338	0.0127347	2.84757
39	384.682	0.0119123	2.66368
40	384.048	0.0127816	2.85806
41	383.282	0.0122176	2.73195
42	382.484	0.0126247	2.82298
43	381.474	0.0126887	2.83727
44	380.142	0.0140233	3.1357
45	378.585	0.0132901	2.97175
46	376.994	0.0138211	3.0905
47	374.998	0.0149626	3.34573
48	372.301	0.0141382	3.16139
49	368.986	0.0155239	3.47124
50	364.892	0.0160973	3.59946
51	360.13	0.0149307	3.33861
52	354.168	0.0195382	4.36888
53	347.666	0.0189717	4.24221
54	340.407	0.0202001	4.51688
55	332.981	0.021559	4.82073
56	325.237	0.0226389	5.0622
57	317.892	0.0245271	5.48443
58	311.108	0.0214945	4.80631
59	305.53	0.0225605	5.04469
60	301.319	0.0217083	4.85413
