hold time	mean	meanerror	RMS
0	280.665	0.0230005	5.14306
1	279.114	0.0220449	4.92939
2	277.517	0.0227381	5.0844
3	275.704	0.0226282	5.05981
4	273.717	0.0224791	5.02648
5	271.657	0.0229859	5.13981
6	269.5	0.0234649	5.24691
7	267.207	0.0234448	5.24242
8	264.949	0.0230943	5.16403
9	262.678	0.0221461	4.95203
10	260.39	0.0220317	4.92644
11	258.398	0.0233946	5.23119
12	256.45	0.0225285	5.03752
13	254.669	0.0222381	4.97259
14	253.666	0.0225461	5.04146
15	252.976	0.0205992	4.60611
16	252.875	0.0223348	4.99422
17	253.831	0.0227039	5.07675
18	256.015	0.0226309	5.06041
19	259.617	0.0207263	4.63454
20	264.97	0.0200506	4.48345
