hold time	mean	meanerror	RMS
0	130.721	0.0184082	4.11619
1	151.846	0.0180118	4.02757
2	182.24	0.0173125	3.87119
3	224.115	0.0186821	4.17744
4	281.323	0.0209338	4.68094
5	350.432	0.0159507	3.56668
6	398.091	0.0106225	2.37526
7	452.196	0.0149394	3.34056
8	533.484	0.016203	3.6231
9	617.137	0.0144457	3.23015
10	688.503	0.0157537	3.52263
11	732.266	0.0162422	3.63187
12	729.569	0.0155991	3.48806
13	664.367	0.0165663	3.70433
14	539.703	0.0166469	3.72236
15	350.119	0.016551	3.70092
16	296.239	0.0199275	4.45591
17	296.186	0.0202629	4.53091
18	296.342	0.0202184	4.52098
