hold time	mean	meanerror	RMS
0	616.998	0.0150444	3.36403
1	625.095	0.0155387	3.47456
2	632.74	0.0165385	3.69812
3	640.582	0.0149396	3.34061
4	647.685	0.0184572	4.12716
5	655.046	0.0146282	3.27098
6	662.392	0.0150156	3.3576
7	669.105	0.0162856	3.64157
8	676.179	0.014836	3.31743
9	682.5	0.0167263	3.74012
10	688.369	0.0153527	3.43296
11	694.513	0.0136219	3.04595
12	699.868	0.0166117	3.71449
13	705.367	0.0162267	3.6284
14	710.461	0.0157262	3.51649
15	714.665	0.017407	3.89233
16	719.439	0.0159183	3.55944
17	723.481	0.0164364	3.6753
18	726.74	0.0168995	3.77884
19	730.011	0.0149911	3.35211
20	732.395	0.0253233	5.66246
21	734.316	0.0174236	3.89604
22	736.143	0.0186354	4.167
23	737.822	0.0165828	3.70804
24	738.816	0.0159508	3.56671
25	739.086	0.0167032	3.73496
26	738.529	0.0175841	3.93193
27	737.542	0.0153863	3.44048
28	735.929	0.0156274	3.49439
29	732.315	0.0161436	3.60983
30	729.49	0.0151388	3.38513
31	725.765	0.0155159	3.46946
32	721.044	0.016893	3.77739
33	715.976	0.0169226	3.784
34	710.34	0.0178556	3.99263
35	704.021	0.0170335	3.80882
36	697.34	0.0146261	3.2705
37	690.014	0.0157225	3.51566
38	681.784	0.0431731	9.6538
39	673.417	0.0159925	3.57604
40	664.162	0.0157846	3.52954
