hold time	mean	meanerror	RMS
0	167.821	0.0150221	3.35905
1	155.393	0.015143	3.38609
2	142.046	0.0147372	3.29533
3	127.848	0.0146899	3.28476
4	112.976	0.0147535	3.29898
5	97.3632	0.0140573	3.1433
6	81.6097	0.0143753	3.21441
7	65.4146	0.013685	3.06005
8	49.2888	0.0134087	2.99828
9	33.5056	0.0134218	3.00121
10	18.4884	0.0125117	2.7977
11	4.57524	0.0120249	2.68884
12	0.00078	0.000161207	0.0360471
13	0	0	0
14	0	0	0
15	0	0	0
16	0	0	0
17	0	0	0
18	0	0	0
19	5.87214	0.0125015	2.79542
20	40.4483	0.0128675	2.87726
21	93.9618	0.0144641	3.23427
22	171.486	0.0155553	3.47828
23	279.161	0.0179554	4.01496
24	390.518	0.0109525	2.44906
25	488.233	0.0142889	3.19509
26	635.257	0.013903	3.1088
27	792.638	0.0141295	3.15945
28	949.859	0.0192211	4.29796
29	1089.7	0.00596183	1.33311
