hold time	mean	meanerror	RMS
0	270.228	0.0214065	4.78663
1	267.179	0.021702	4.85272
2	263.963	0.0240334	5.37404
3	260.358	0.0203632	4.55335
4	256.54	0.020389	4.55912
5	252.278	0.0216183	4.83401
6	247.636	0.0194141	4.34114
7	242.613	0.0179494	4.01361
8	237.122	0.0191975	4.2927
9	231.194	0.0191107	4.27329
10	224.757	0.019491	4.35833
11	218.011	0.0192627	4.30728
12	210.65	0.0193935	4.33652
13	202.887	0.0205333	4.59138
14	194.724	0.0184468	4.12483
15	186.174	0.0178959	4.00165
16	177.12	0.0179222	4.00752
17	167.909	0.0183193	4.09631
18	158.432	0.0176848	3.95444
19	149.036	0.0198647	4.44187
20	139.756	0.0176373	3.94382
21	130.914	0.0196528	4.3945
22	122.719	0.0176363	3.94359
23	115.686	0.0197968	4.4267
24	110.08	0.0184157	4.11788
25	106.743	0.0205282	4.59024
26	106.107	0.0179039	4.00343
27	109.227	0.0174895	3.91078
28	117.094	0.0183372	4.10032
